Algorithm,Instance,Instance Size,Run,Final Value,Deviation
genetic,data/Benchmarks/ta102,200,3,1269522,3.0556547715686593
genetic,data/Benchmarks/ta108,200,1,1270917,3.0537025129393145
genetic,data/Benchmarks/ta108,200,2,1274944,3.38023623624273
genetic,data/Benchmarks/ta108,200,3,1267182,2.750845930734632
ils,data/Benchmarks/ta108,200,1,1260761,2.2301920848614687
ils,data/Benchmarks/ta108,200,2,1264992,2.5732673724941355
ils,data/Benchmarks/ta108,200,3,1257810,1.9909070047848907
genetic,data/Benchmarks/ta101,200,1,1254904,2.7121352007909847
genetic,data/Benchmarks/ta101,200,2,1256318,2.8278691208150812
genetic,data/Benchmarks/ta101,200,3,1258256,2.986491707099875
ils,data/Benchmarks/ta084,100,1,380368,2.141554755325691
ils,data/Benchmarks/ta084,100,2,379172,1.8203886754047474
ils,data/Benchmarks/ta084,100,3,379450,1.895040991640552
ils,data/Benchmarks/ta084,100,4,378452,1.6270445470242458
ils,data/Benchmarks/ta084,100,5,380276,2.1168496722548493
ils,data/Benchmarks/ta084,100,6,379141,1.81206413654392
ils,data/Benchmarks/ta084,100,7,378386,1.6093213352560334
ils,data/Benchmarks/ta084,100,8,379026,1.781182782705368
ils,data/Benchmarks/ta084,100,9,379974,2.0357525517396944
ils,data/Benchmarks/ta084,100,10,380625,2.210567867817064
genetic,data/Benchmarks/ta084,100,1,378326,1.5932093245576582
genetic,data/Benchmarks/ta084,100,2,379983,2.0381693533444505
genetic,data/Benchmarks/ta084,100,3,380946,2.296767125053371
genetic,data/Benchmarks/ta084,100,4,379282,1.8499273616851015
genetic,data/Benchmarks/ta084,100,5,379434,1.8907444554543185
genetic,data/Benchmarks/ta084,100,6,380063,2.0596520342756173
genetic,data/Benchmarks/ta084,100,7,377693,1.4232276116898008
genetic,data/Benchmarks/ta084,100,8,380076,2.063142969926932
genetic,data/Benchmarks/ta084,100,9,380596,2.202780395979516
genetic,data/Benchmarks/ta084,100,10,380756,2.2457457578418496
ils,data/Benchmarks/ta110,200,1,1266684,2.5768019798131614
ils,data/Benchmarks/ta110,200,2,1269296,2.7883232485520675
ils,data/Benchmarks/ta110,200,3,1267539,2.6460403736767772
ils,data/Benchmarks/ta085,100,1,375848,1.8792946884783759
ils,data/Benchmarks/ta085,100,2,375720,1.8445983492132334
ils,data/Benchmarks/ta085,100,3,376325,2.008592765271133
ils,data/Benchmarks/ta085,100,4,375477,1.7787295176395646
ils,data/Benchmarks/ta085,100,5,374679,1.5624195275334425
ils,data/Benchmarks/ta085,100,6,375278,1.7247875526882888
ils,data/Benchmarks/ta085,100,7,375869,1.8849870566390634
ils,data/Benchmarks/ta085,100,8,375313,1.7342748329561009
ils,data/Benchmarks/ta085,100,9,376553,2.070395619587168
ils,data/Benchmarks/ta085,100,10,375921,1.8990824444655274
